score_type,score_time
ScoringDeck,0 days 00:00:00.781044
ScoringDeck,0 days 00:00:00.992980
ScoringDeck,0 days 00:00:00.980225
ScoringDeck,0 days 00:00:01.017516
ScoringDeck,0 days 00:00:01.057595
ScoringDeck,0 days 00:00:00.950697
ScoringDeck,0 days 00:00:01.000761
ScoringDeck,0 days 00:00:01.085567
ScoringDeck,0 days 00:00:01.028205
ScoringDeck,0 days 00:00:01.207750
ScoringDeck,0 days 00:00:01.044598
ScoringDeck,0 days 00:00:00.915845
ScoringDeck,0 days 00:00:00.983123
ScoringDeck,0 days 00:00:01.090591
ScoringDeck,0 days 00:00:01.150594
ScoringDeck,0 days 00:00:01.039593
ScoringDeck,0 days 00:00:01.068994
ScoringDeck,0 days 00:00:01.139908
ScoringDeck,0 days 00:00:01.104665
ScoringDeck,0 days 00:00:01.048908
ScoringDeck,0 days 00:00:01.044758
ScoringDeck,0 days 00:00:01.096287
ScoringDeck,0 days 00:00:01.100751
ScoringDeck,0 days 00:00:01.205037
ScoringDeck,0 days 00:00:01.044885
ScoringDeck,0 days 00:00:00.991414
ScoringDeck,0 days 00:00:00.987703
ScoringDeck,0 days 00:00:00.898219
ScoringDeck,0 days 00:00:00.952128
ScoringDeck,0 days 00:00:00.942888
ScoringDeck,0 days 00:00:00.938238
ScoringDeck,0 days 00:00:01.016517
ScoringDeck,0 days 00:00:00.986312
ScoringDeck,0 days 00:00:01.074537
ScoringDeck,0 days 00:00:00.920967
ScoringDeck,0 days 00:00:00.928808
ScoringDeck,0 days 00:00:00.709766
ScoringDeck,0 days 00:00:00.549726
ScoringDeck,0 days 00:00:00.507905
ScoringDeck,0 days 00:00:00.479992
ScoringDeck,0 days 00:00:00.470477
ScoringDeck,0 days 00:00:00.507975
ScoringDeck,0 days 00:00:00.540861
ScoringDeck,0 days 00:00:00.572076
ScoringDeck,0 days 00:00:00.541876
ScoringDeck,0 days 00:00:00.549369
ScoringDeck,0 days 00:00:00.743436
