score_type,score_time
ScoringDeck,0 days 00:00:00.557947
ScoringDeck,0 days 00:00:00.491604
ScoringDeck,0 days 00:00:00.537491
ScoringDeck,0 days 00:00:00.481310
ScoringDeck,0 days 00:00:00.531198
ScoringDeck,0 days 00:00:00.444267
ScoringDeck,0 days 00:00:00.459231
ScoringDeck,0 days 00:00:00.449670
ScoringDeck,0 days 00:00:00.436158
ScoringDeck,0 days 00:00:00.449647
ScoringDeck,0 days 00:00:00.426063
ScoringDeck,0 days 00:00:00.459517
ScoringDeck,0 days 00:00:00.475500
ScoringDeck,0 days 00:00:00.500724
ScoringDeck,0 days 00:00:00.471330
ScoringDeck,0 days 00:00:00.447019
ScoringDeck,0 days 00:00:00.487093
ScoringDeck,0 days 00:00:00.445674
ScoringDeck,0 days 00:00:00.505141
ScoringDeck,0 days 00:00:00.462638
ScoringDeck,0 days 00:00:00.487674
ScoringDeck,0 days 00:00:00.511600
ScoringDeck,0 days 00:00:00.479677
ScoringDeck,0 days 00:00:00.427598
ScoringDeck,0 days 00:00:00.444219
ScoringDeck,0 days 00:00:00.433775
ScoringDeck,0 days 00:00:00.445902
ScoringDeck,0 days 00:00:00.441496
ScoringDeck,0 days 00:00:00.509062
ScoringDeck,0 days 00:00:00.775470
ScoringDeck,0 days 00:00:00.461576
ScoringDeck,0 days 00:00:00.478768
ScoringDeck,0 days 00:00:00.438514
ScoringDeck,0 days 00:00:00.475472
ScoringDeck,0 days 00:00:00.481116
ScoringDeck,0 days 00:00:00.464077
ScoringDeck,0 days 00:00:00.535333
ScoringDeck,0 days 00:00:00.586477
ScoringDeck,0 days 00:00:00.508524
ScoringDeck,0 days 00:00:00.442471
ScoringDeck,0 days 00:00:00.519968
ScoringDeck,0 days 00:00:00.508585
ScoringDeck,0 days 00:00:00.543916
ScoringDeck,0 days 00:00:00.473506
ScoringDeck,0 days 00:00:00.448572
ScoringDeck,0 days 00:00:00.501042
ScoringDeck,0 days 00:00:00.470868
ScoringDeck,0 days 00:00:00.457056
ScoringDeck,0 days 00:00:00.451295
ScoringDeck,0 days 00:00:00.484263
ScoringDeck,0 days 00:00:00.508702
ScoringDeck,0 days 00:00:00.571393
ScoringDeck,0 days 00:00:00.646950
ScoringDeck,0 days 00:00:00.522537
ScoringDeck,0 days 00:00:00.423303
ScoringDeck,0 days 00:00:00.410152
ScoringDeck,0 days 00:00:00.435660
ScoringDeck,0 days 00:00:00.570061
ScoringDeck,0 days 00:00:00.573692
ScoringDeck,0 days 00:00:00.589218
ScoringDeck,0 days 00:00:00.474385
ScoringDeck,0 days 00:00:00.428313
ScoringDeck,0 days 00:00:00.415367
ScoringDeck,0 days 00:00:00.439159
ScoringDeck,0 days 00:00:00.440689
ScoringDeck,0 days 00:00:00.442124
ScoringDeck,0 days 00:00:00.529559
ScoringDeck,0 days 00:00:00.490271
ScoringDeck,0 days 00:00:00.648753
ScoringDeck,0 days 00:00:00.782554
ScoringDeck,0 days 00:00:00.591657
ScoringDeck,0 days 00:00:00.704960
ScoringDeck,0 days 00:00:00.467059
ScoringDeck,0 days 00:00:00.466499
ScoringDeck,0 days 00:00:00.443378
ScoringDeck,0 days 00:00:00.426358
ScoringDeck,0 days 00:00:00.435800
ScoringDeck,0 days 00:00:00.506114
ScoringDeck,0 days 00:00:00.541814
ScoringDeck,0 days 00:00:00.470226
ScoringDeck,0 days 00:00:00.470336
ScoringDeck,0 days 00:00:00.490078
ScoringDeck,0 days 00:00:00.470695
ScoringDeck,0 days 00:00:00.440190
ScoringDeck,0 days 00:00:00.434468
ScoringDeck,0 days 00:00:00.423884
ScoringDeck,0 days 00:00:00.475282
ScoringDeck,0 days 00:00:00.408586
ScoringDeck,0 days 00:00:00.458381
ScoringDeck,0 days 00:00:00.431372
ScoringDeck,0 days 00:00:00.523991
ScoringDeck,0 days 00:00:00.632610
ScoringDeck,0 days 00:00:00.447397
ScoringDeck,0 days 00:00:00.419724
ScoringDeck,0 days 00:00:00.423659
ScoringDeck,0 days 00:00:00.445499
ScoringDeck,0 days 00:00:00.481162
ScoringDeck,0 days 00:00:00.448412
ScoringDeck,0 days 00:00:00.461300
ScoringDeck,0 days 00:00:00.586926
ScoringDeck,0 days 00:00:00.597435
ScoringDeck,0 days 00:00:00.521844
ScoringDeck,0 days 00:00:00.451302
ScoringDeck,0 days 00:00:00.491380
ScoringDeck,0 days 00:00:00.533413
ScoringDeck,0 days 00:00:00.476909
ScoringDeck,0 days 00:00:00.493899
ScoringDeck,0 days 00:00:00.498987
ScoringDeck,0 days 00:00:00.468156
ScoringDeck,0 days 00:00:00.448328
ScoringDeck,0 days 00:00:00.429485
ScoringDeck,0 days 00:00:00.460408
ScoringDeck,0 days 00:00:00.477634
ScoringDeck,0 days 00:00:00.461260
ScoringDeck,0 days 00:00:00.469292
ScoringDeck,0 days 00:00:00.472767
ScoringDeck,0 days 00:00:00.605613
ScoringDeck,0 days 00:00:00.524985
ScoringDeck,0 days 00:00:00.444278
ScoringDeck,0 days 00:00:00.428341
ScoringDeck,0 days 00:00:00.420636
ScoringDeck,0 days 00:00:00.445756
ScoringDeck,0 days 00:00:00.423546
ScoringDeck,0 days 00:00:00.450840
ScoringDeck,0 days 00:00:00.541878
ScoringDeck,0 days 00:00:00.601377
ScoringDeck,0 days 00:00:00.689453
ScoringDeck,0 days 00:00:00.455208
ScoringDeck,0 days 00:00:00.446492
ScoringDeck,0 days 00:00:00.417486
ScoringDeck,0 days 00:00:00.532332
ScoringDeck,0 days 00:00:00.634068
ScoringDeck,0 days 00:00:00.618280
ScoringDeck,0 days 00:00:00.631396
ScoringDeck,0 days 00:00:00.574188
ScoringDeck,0 days 00:00:00.534217
ScoringDeck,0 days 00:00:00.489930
ScoringDeck,0 days 00:00:00.417892
ScoringDeck,0 days 00:00:00.489540
ScoringDeck,0 days 00:00:00.442571
ScoringDeck,0 days 00:00:00.426717
ScoringDeck,0 days 00:00:00.493225
ScoringDeck,0 days 00:00:00.575754
ScoringDeck,0 days 00:00:00.654624
ScoringDeck,0 days 00:00:00.519214
ScoringDeck,0 days 00:00:00.592654
ScoringDeck,0 days 00:00:00.699424
ScoringDeck,0 days 00:00:00.592149
ScoringDeck,0 days 00:00:00.497800
ScoringDeck,0 days 00:00:00.454785
ScoringDeck,0 days 00:00:00.502777
ScoringDeck,0 days 00:00:00.522115
ScoringDeck,0 days 00:00:00.541637
ScoringDeck,0 days 00:00:00.506208
ScoringDeck,0 days 00:00:00.516087
ScoringDeck,0 days 00:00:00.453365
